-----------------------------------------------------------------------------------------------------------
| region                                                                  | impMoyenReg                   |
===========================================================================================================
| "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              | 4694.416058394160583941605839 |
| "Auvergne"^^<http://www.w3.org/2001/XMLSchema#string>                   | 5116.333333333333333333333333 |
| "La Réunion"^^<http://www.w3.org/2001/XMLSchema#string>                 | 4971.75                       |
| "Bretagne"^^<http://www.w3.org/2001/XMLSchema#string>                   | 5081.333333333333333333333333 |
| "Pays de la Loire"^^<http://www.w3.org/2001/XMLSchema#string>           | 4695.846153846153846153846153 |
| "Centre"^^<http://www.w3.org/2001/XMLSchema#string>                     | 4941.363636363636363636363636 |
| "Basse-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            | 4772.6                        |
| "Haute-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            | 4535.555555555555555555555555 |
| "Aquitaine"^^<http://www.w3.org/2001/XMLSchema#string>                  | 5309.772727272727272727272727 |
| "Poitou-Charentes"^^<http://www.w3.org/2001/XMLSchema#string>           | 5514.375                      |
| "Franche-Comté"^^<http://www.w3.org/2001/XMLSchema#string>              | 4679.                         |
| "Picardie"^^<http://www.w3.org/2001/XMLSchema#string>                   | 5605.714285714285714285714285 |
| "Languedoc-Roussillon"^^<http://www.w3.org/2001/XMLSchema#string>       | 4651.                         |
| "Alsace"^^<http://www.w3.org/2001/XMLSchema#string>                     | 5436.142857142857142857142857 |
| "Guyane"^^<http://www.w3.org/2001/XMLSchema#string>                     | 15765.                        |
| "Limousin"^^<http://www.w3.org/2001/XMLSchema#string>                   | 6898.                         |
| "Corse"^^<http://www.w3.org/2001/XMLSchema#string>                      | 7903.5                        |
| "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> | 4659.205882352941176470588235 |
| "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                | 5052.096774193548387096774193 |
| "Nord-Pas-de-Calais"^^<http://www.w3.org/2001/XMLSchema#string>         | 5988.                         |
| "Bourgogne"^^<http://www.w3.org/2001/XMLSchema#string>                  | 5134.666666666666666666666666 |
| "Martinique"^^<http://www.w3.org/2001/XMLSchema#string>                 | 7699.5                        |
| "Midi-Pyrénées"^^<http://www.w3.org/2001/XMLSchema#string>              | 4366.846153846153846153846153 |
| "Champagne-Ardenne"^^<http://www.w3.org/2001/XMLSchema#string>          | 6618.5                        |
| "Guadeloupe"^^<http://www.w3.org/2001/XMLSchema#string>                 | 7566.                         |
| "Lorraine"^^<http://www.w3.org/2001/XMLSchema#string>                   | 6064.818181818181818181818181 |
-----------------------------------------------------------------------------------------------------------
