-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| departement                                            | nbHopitaux                                     | nbPharmacies                                    | popMoyenne                                         | natalite                                         | region                                                                  |
===============================================================================================================================================================================================================================================================================================================================================
| "Somme"^^<http://www.w3.org/2001/XMLSchema#string>     | "245"^^<http://www.w3.org/2001/XMLSchema#int>  | "3541"^^<http://www.w3.org/2001/XMLSchema#int>  | "568.9"^^<http://www.w3.org/2001/XMLSchema#float>  | "9.6"^^<http://www.w3.org/2001/XMLSchema#float>  | "Picardie"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Oise"^^<http://www.w3.org/2001/XMLSchema#string>      | "290"^^<http://www.w3.org/2001/XMLSchema#int>  | "3903"^^<http://www.w3.org/2001/XMLSchema#int>  | "800.6"^^<http://www.w3.org/2001/XMLSchema#float>  | "7.7"^^<http://www.w3.org/2001/XMLSchema#float>  | "Picardie"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Aisne"^^<http://www.w3.org/2001/XMLSchema#string>     | "234"^^<http://www.w3.org/2001/XMLSchema#int>  | "3465"^^<http://www.w3.org/2001/XMLSchema#int>  | "539.3"^^<http://www.w3.org/2001/XMLSchema#float>  | "10.3"^^<http://www.w3.org/2001/XMLSchema#float> | "Picardie"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Yonne"^^<http://www.w3.org/2001/XMLSchema#string>     | "152"^^<http://www.w3.org/2001/XMLSchema#int>  | "1549"^^<http://www.w3.org/2001/XMLSchema#int>  | "342.9"^^<http://www.w3.org/2001/XMLSchema#float>  | "11.8"^^<http://www.w3.org/2001/XMLSchema#float> | "Bourgogne"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "Morbihan"^^<http://www.w3.org/2001/XMLSchema#string>  | "334"^^<http://www.w3.org/2001/XMLSchema#int>  | "4031"^^<http://www.w3.org/2001/XMLSchema#int>  | "713.1"^^<http://www.w3.org/2001/XMLSchema#float>  | "10.1"^^<http://www.w3.org/2001/XMLSchema#float> | "Bretagne"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Allier"^^<http://www.w3.org/2001/XMLSchema#string>    | "204"^^<http://www.w3.org/2001/XMLSchema#int>  | "2619"^^<http://www.w3.org/2001/XMLSchema#int>  | "342.9"^^<http://www.w3.org/2001/XMLSchema#float>  | "12.6"^^<http://www.w3.org/2001/XMLSchema#float> | "Auvergne"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Cantal"^^<http://www.w3.org/2001/XMLSchema#string>    | "96"^^<http://www.w3.org/2001/XMLSchema#int>   | "1342"^^<http://www.w3.org/2001/XMLSchema#int>  | "148.6"^^<http://www.w3.org/2001/XMLSchema#float>  | "12.6"^^<http://www.w3.org/2001/XMLSchema#float> | "Auvergne"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "Eure"^^<http://www.w3.org/2001/XMLSchema#string>      | "190"^^<http://www.w3.org/2001/XMLSchema#int>  | "1519"^^<http://www.w3.org/2001/XMLSchema#int>  | "580.0"^^<http://www.w3.org/2001/XMLSchema#float>  | "8.5"^^<http://www.w3.org/2001/XMLSchema#float>  | "Haute-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            |
| "Jura"^^<http://www.w3.org/2001/XMLSchema#string>      | "122"^^<http://www.w3.org/2001/XMLSchema#int>  | "1687"^^<http://www.w3.org/2001/XMLSchema#int>  | "261.0"^^<http://www.w3.org/2001/XMLSchema#float>  | "9.4"^^<http://www.w3.org/2001/XMLSchema#float>  | "Franche-Comté"^^<http://www.w3.org/2001/XMLSchema#string>              |
