---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| localite                                                               | departement                                                          | region                                                                  |
===========================================================================================================================================================================================================================
| "Paris 1er"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 5eme"^^<http://www.w3.org/2001/XMLSchema#string>                | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 8eme"^^<http://www.w3.org/2001/XMLSchema#string>                | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 9eme"^^<http://www.w3.org/2001/XMLSchema#string>                | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 11eme"^^<http://www.w3.org/2001/XMLSchema#string>               | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 12eme"^^<http://www.w3.org/2001/XMLSchema#string>               | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 19eme"^^<http://www.w3.org/2001/XMLSchema#string>               | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 3eme"^^<http://www.w3.org/2001/XMLSchema#string>                | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 4eme"^^<http://www.w3.org/2001/XMLSchema#string>                | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 2nd"^^<http://www.w3.org/2001/XMLSchema#string>                 | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 10eme"^^<http://www.w3.org/2001/XMLSchema#string>               | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 14eme"^^<http://www.w3.org/2001/XMLSchema#string>               | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 16eme"^^<http://www.w3.org/2001/XMLSchema#string>               | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "Paris 17eme"^^<http://www.w3.org/2001/XMLSchema#string>               | "Paris"^^<http://www.w3.org/2001/XMLSchema#string>                   | "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              |
