---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| region                                                                  | impMoyenReg                   | popMoyenneReg                                         | nataliteMoyenneReg                                    |
===========================================================================================================================================================================================================================
| "Île-de-France"^^<http://www.w3.org/2001/XMLSchema#string>              | 4286.972972972972972972972972 | "1304.1486"^^<http://www.w3.org/2001/XMLSchema#float> | "5.8972983"^^<http://www.w3.org/2001/XMLSchema#float> |
| "Auvergne"^^<http://www.w3.org/2001/XMLSchema#string>                   | 4935.25                       | "294.32498"^^<http://www.w3.org/2001/XMLSchema#float> | "12.6"^^<http://www.w3.org/2001/XMLSchema#float>      |
| "Pays de la Loire"^^<http://www.w3.org/2001/XMLSchema#string>           | 5094.                         | "432.2"^^<http://www.w3.org/2001/XMLSchema#float>     | "9.1"^^<http://www.w3.org/2001/XMLSchema#float>       |
| "Bretagne"^^<http://www.w3.org/2001/XMLSchema#string>                   | 4537.5                        | "713.1"^^<http://www.w3.org/2001/XMLSchema#float>     | "10.1"^^<http://www.w3.org/2001/XMLSchema#float>      |
| "Centre"^^<http://www.w3.org/2001/XMLSchema#string>                     | 4778.                         | "516.1"^^<http://www.w3.org/2001/XMLSchema#float>     | "9.639999"^^<http://www.w3.org/2001/XMLSchema#float>  |
| "Basse-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            | 4455.                         | "429.03333"^^<http://www.w3.org/2001/XMLSchema#float> | "10.366667"^^<http://www.w3.org/2001/XMLSchema#float> |
| "Haute-Normandie"^^<http://www.w3.org/2001/XMLSchema#string>            | 4298.5                        | "580.0"^^<http://www.w3.org/2001/XMLSchema#float>     | "8.5"^^<http://www.w3.org/2001/XMLSchema#float>       |
| "Poitou-Charentes"^^<http://www.w3.org/2001/XMLSchema#string>           | 6520.25                       | "388.40002"^^<http://www.w3.org/2001/XMLSchema#float> | "9.8"^^<http://www.w3.org/2001/XMLSchema#float>       |
| "Franche-Comté"^^<http://www.w3.org/2001/XMLSchema#string>              | 3295.                         | "261.0"^^<http://www.w3.org/2001/XMLSchema#float>     | "9.4"^^<http://www.w3.org/2001/XMLSchema#float>       |
| "Picardie"^^<http://www.w3.org/2001/XMLSchema#string>                   | 5605.714285714285714285714285 | "622.41425"^^<http://www.w3.org/2001/XMLSchema#float> | "9.357142"^^<http://www.w3.org/2001/XMLSchema#float>  |
| "Alsace"^^<http://www.w3.org/2001/XMLSchema#string>                     | 5436.142857142857142857142857 | "944.6713"^^<http://www.w3.org/2001/XMLSchema#float>  | "7.5428567"^^<http://www.w3.org/2001/XMLSchema#float> |
| "Provence-Alpes-Côte d'Azur"^^<http://www.w3.org/2001/XMLSchema#string> | 4228.384615384615384615384615 | "861.3539"^^<http://www.w3.org/2001/XMLSchema#float>  | "9.792307"^^<http://www.w3.org/2001/XMLSchema#float>  |
| "Rhône-Alpes"^^<http://www.w3.org/2001/XMLSchema#string>                | 5736.857142857142857142857142 | "603.18567"^^<http://www.w3.org/2001/XMLSchema#float> | "8.442858"^^<http://www.w3.org/2001/XMLSchema#float>  |
| "Bourgogne"^^<http://www.w3.org/2001/XMLSchema#string>                  | 5225.                         | "342.9"^^<http://www.w3.org/2001/XMLSchema#float>     | "11.8"^^<http://www.w3.org/2001/XMLSchema#float>      |
| "Midi-Pyrénées"^^<http://www.w3.org/2001/XMLSchema#string>              | 4358.833333333333333333333333 | "276.36667"^^<http://www.w3.org/2001/XMLSchema#float> | "11.283333"^^<http://www.w3.org/2001/XMLSchema#float> |
| "Champagne-Ardenne"^^<http://www.w3.org/2001/XMLSchema#string>          | 6449.                         | "500.15"^^<http://www.w3.org/2001/XMLSchema#float>    | "8.8"^^<http://www.w3.org/2001/XMLSchema#float>       |
| "Lorraine"^^<http://www.w3.org/2001/XMLSchema#string>                   | 6175.5                        | "771.56256"^^<http://www.w3.org/2001/XMLSchema#float> | "9.0625"^^<http://www.w3.org/2001/XMLSchema#float>    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
