-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| natalite                                         | nbHopitaux                                    | impMoyen                                            | impMoyenReg                   | departement                                            | region                                                                  |
=============================================================================================================================================================================================================================================================================================================================
| "7.7"^^<http://www.w3.org/2001/XMLSchema#float>  | "290"^^<http://www.w3.org/2001/XMLSchema#int> | "6484"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5605.714285714285714285714285 | "Oise"^^<http://www.w3.org/2001/XMLSchema#string>      | "Picardie"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "10.3"^^<http://www.w3.org/2001/XMLSchema#float> | "234"^^<http://www.w3.org/2001/XMLSchema#int> | "5788"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5605.714285714285714285714285 | "Aisne"^^<http://www.w3.org/2001/XMLSchema#string>     | "Picardie"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "7.7"^^<http://www.w3.org/2001/XMLSchema#float>  | "290"^^<http://www.w3.org/2001/XMLSchema#int> | "6352"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5605.714285714285714285714285 | "Oise"^^<http://www.w3.org/2001/XMLSchema#string>      | "Picardie"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "11.8"^^<http://www.w3.org/2001/XMLSchema#float> | "152"^^<http://www.w3.org/2001/XMLSchema#int> | "6361"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5134.666666666666666666666666 | "Yonne"^^<http://www.w3.org/2001/XMLSchema#string>     | "Bourgogne"^^<http://www.w3.org/2001/XMLSchema#string>                  |
| "12.6"^^<http://www.w3.org/2001/XMLSchema#float> | "204"^^<http://www.w3.org/2001/XMLSchema#int> | "5856"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 5116.333333333333333333333333 | "Allier"^^<http://www.w3.org/2001/XMLSchema#string>    | "Auvergne"^^<http://www.w3.org/2001/XMLSchema#string>                   |
| "11.5"^^<http://www.w3.org/2001/XMLSchema#float> | "151"^^<http://www.w3.org/2001/XMLSchema#int> | "6757"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4941.363636363636363636363636 | "Cher"^^<http://www.w3.org/2001/XMLSchema#string>      | "Centre"^^<http://www.w3.org/2001/XMLSchema#string>                     |
| "11.5"^^<http://www.w3.org/2001/XMLSchema#float> | "151"^^<http://www.w3.org/2001/XMLSchema#int> | "5211"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4941.363636363636363636363636 | "Cher"^^<http://www.w3.org/2001/XMLSchema#string>      | "Centre"^^<http://www.w3.org/2001/XMLSchema#string>                     |
| "11.9"^^<http://www.w3.org/2001/XMLSchema#float> | "155"^^<http://www.w3.org/2001/XMLSchema#int> | "5184"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4366.846153846153846153846153 | "Aveyron"^^<http://www.w3.org/2001/XMLSchema#string>   | "Midi-Pyrénées"^^<http://www.w3.org/2001/XMLSchema#string>              |
| "10.4"^^<http://www.w3.org/2001/XMLSchema#float> | "186"^^<http://www.w3.org/2001/XMLSchema#int> | "5725"^^<http://www.w3.org/2001/XMLSchema#decimal>  | 4366.846153846153846153846153 | "Tarn"^^<http://www.w3.org/2001/XMLSchema#string>      | "Midi-Pyrénées"^^<http://www.w3.org/2001/XMLSchema#string>              |
